"Position (bp)"	"PitViper_042019_S2_L004_R1_001"	"PitViper_042019_S2_L004_R2_001"
1	36.331755212842765	36.289081640698825
2	36.514386701338516	36.33178442258538
3	36.63056340008059	36.427477446384614
4	36.650174826137125	36.39786372603326
5	36.684390749283786	36.447869613223745
6	36.68846627534842	36.43545926575514
7	36.722675932975164	36.476158042878474
8	36.705406191692205	36.41591368211026
9	36.712287098505165	36.43977913782787
12	36.68909789212281	36.369723435374695
17	36.64038737823479	36.29652447659706
22	36.54988749840754	36.164498733480414
27	36.496885326750295	36.01647273980786
32	36.39164752484488	35.85456771793213
37	36.31992212412905	35.70681512036001
42	36.2067801162859	35.50024348415154
47	36.099957344298716	35.34060424365865
52	35.98012168921044	35.123475644333965
57	35.847232695550716	34.94529154885136
62	35.729788539363305	34.77731840592832
67	35.58779648489758	34.614200300846676
72	35.459690546504426	34.391545288196895
77	35.31512341966062	34.222627124134775
82	35.15815867056354	34.02742604942573
87	35.012751826645534	33.823641229582286
92	34.909315250261216	33.70394499783684
97	34.766584382556026	33.50711306668605
102	34.61484097435596	33.34048034995376
107	34.464506136131945	33.12485937676028
112	34.33897266797972	33.02657893815753
117	34.20954819587315	32.80432705054192
122	34.059217779892016	32.674480997691276
127	33.93715004051775	32.49911128477589
132	33.827742350203074	32.343948417642885
137	33.70406841050552	32.12825453154683
142	33.59984522242597	31.970704651940338
147	33.388946008991894	31.740543429187703
150	33.19682441924658	31.41217299004088